generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2378000,6,-610.231,-194.105,2.38779,0.561
2378500,4,-599.483,-202.803,3.78072,0.584
2379000,2,-636.011,-160.716,0.434729,0.569
2379500,3,-628.604,-175.797,1.31872,0.534
2380000,2,-615.216,-183.402,2.35243,0.534
2380500,3,-614.781,-182.902,1.05802,0.538
2381000,6,-647.706,-160.832,3.49959,0.5805
2381500,5,-641.144,-159.969,3.63542,0.604
2382000,6,-591.412,-206.735,1.48801,0.5715
2382500,3,-604.268,-195.59,1.10359,0.576
2383000,2,-615.365,-184.939,0.827664,0.564
2383500,3,-617.789,-184.928,2.82337,0.512
2384000,2,-687.494,-109.01,0.342627,0.570846
2384500,2,-656.038,-143.621,1.75349,0.48
2385000,3,-668.814,-130.913,2.27165,0.506
2385500,4,-668.686,-132.339,3.38233,0.564
2386000,4,-677.606,-124.467,2.5009,0.564
2386500,2,-662.524,-132.021,1.62772,0.524
2387000,6,-683.666,-127.869,3.8386,0.532
2387500,4,-644.59,-157.478,3.97329,0.552
2388000,7,-657.653,-153.59,4.68985,0.527
2388500,2,-639.639,-160.899,1.03443,0.56
2389000,10,-614.368,-187.506,4.87409,0.54996
2389500,6,-664.258,-145.864,5.69217,0.592
2390000,2,-592.067,-211.84,1.6668,0.566
2390500,2,-603.249,-194.185,0.362156,0.528
2391000,4,-609.614,-198.492,2.42026,0.528
2391500,2,-603.016,-197.039,1.24074,0.528
2392000,2,-600.394,-202.621,1.09064,0.5632
2392500,4,-593.946,-208.984,3.63447,0.512
2393000,3,-603.5,-195.434,1.79216,0.541
2393500,2,-613.277,-184.205,0.811878,0.554
2394000,4,-578.543,-226.158,4.66038,0.543
2394500,2,-593.633,-202.573,2.28069,0.504
2395000,8,-589.997,-216.124,5.43085,0.546
2395500,9,-577.875,-224.498,5.27693,0.61
2396000,7,-583.707,-230.886,3.6793,0.602
2396500,5,-576.297,-224.476,1.36918,0.562
2397000,4,-674.789,-123.117,2.60703,0.538857
2397500,7,-710.087,-101.563,2.52564,0.566
2398000,9,-671.223,-136.109,4.24214,0.582
2398500,5,-663.207,-140.059,2.07721,0.562
2399000,4,-693.335,-109.939,4.21269,0.581
2399500,3,-684.85,-116.93,1.5431,0.576
2400000,4,-580.726,-223.366,3.74622,0.57875
2400500,5,-575.748,-226.668,0.996269,0.596
2401000,4,-680.711,-124.922,4.89715,0.544
2401500,2,-647.848,-153.113,0.855377,0.486
2402000,3,-707.852,-95.1979,1.34075,0.549643
2402500,3,-714.363,-86.4467,1.501,0.5
2403000,2,-698.826,-103.572,1.65904,0.494
2403500,3,-732.38,-74.4429,1.79369,0.51
2404000,3,-648.469,-155.689,3.87984,0.55175
2404500,2,-641.39,-153.831,1.85638,0.47
2405000,5,-712.003,-92.9009,4.32137,0.5295
2405500,6,-718.828,-85.7213,2.6472,0.626
2406000,5,-710.052,-92.7561,3.15166,0.591
2406500,2,-677.287,-118.37,1.74596,0.544
2407000,2,-677.939,-119.049,1.47278,0.503
2407500,3,-673.834,-125.184,2.97021,0.51
2408000,3,-667.185,-129.559,1.48133,0.535
2408500,3,-664.954,-137.087,1.81701,0.562
2409000,7,-653.128,-152.241,2.24788,0.569
2409500,8,-639.63,-169.913,8.32119,0.644
2410000,8,-600.406,-204.683,7.32825,0.561562
2410500,7,-610.098,-195.957,5.12069,0.638
2411000,9,-609.938,-198.21,3.06216,0.624
2411500,4,-614.807,-188.503,2.24531,0.556
2412000,3,-632.532,-166.63,1.93779,0.549
2412500,8,-648.01,-159.344,6.07344,0.6
2413000,2,-655.585,-144.883,1.35152,0.560556
2413500,2,-658.363,-140.974,2.1111,0.496
2414000,4,-643.661,-159.043,1.47725,0.513
2414500,5,-645.74,-155.631,3.97621,0.522
2415000,8,-662.239,-150.396,2.87953,0.545
2415500,7,-670.377,-135.075,2.32072,0.592
2416000,5,-678.244,-123.388,4.01731,0.612
2416500,4,-672.616,-135.728,3.68364,0.56
2417000,5,-658.701,-140.337,3.13125,0.552
2417500,6,-665.927,-146.649,3.5829,0.56
2418000,5,-657.436,-145.947,4.30179,0.573467
2418500,5,-685.389,-118.711,3.07726,0.542
2419000,5,-660.187,-146.286,1.77311,0.599
2419500,4,-655.694,-144.125,1.63038,0.55
2420000,5,-594.573,-202.239,1.37185,0.56425
2420500,4,-601.235,-194.254,3.27812,0.582
2421000,4,-694.261,-105.382,2.04927,0.562
2421500,5,-684.368,-121.152,2.6055,0.566
2422000,4,-718.182,-81.5633,2.33823,0.57925
2422500,6,-710.744,-96.0969,3.23149,0.54
2423000,6,-712.297,-86.147,1.52151,0.56
2423500,6,-714.951,-91.1244,6.21994,0.558
2424000,5,-694.729,-117.287,2.27743,0.5426
2424500,5,-701.895,-110.897,2.37733,0.56
2425000,5,-690.112,-113.841,2.66057,0.574
2425500,7,-686.206,-116.132,2.7024,0.606
2426000,8,-660.492,-140.133,3.81309,0.5816
2426500,6,-651.965,-141.277,1.83622,0.588
2427000,8,-646.071,-147.548,4.12261,0.579
2427500,5,-638.925,-156.449,3.52677,0.592
2428000,4,-641.062,-149.281,2.74168,0.589
2428500,8,-661.613,-137.5,6.53306,0.566
2429000,12,-650.146,-160.415,8.71216,0.581667
2429500,10,-639.103,-174.36,9.26275,0.62
2430000,12,-605.356,-199.235,6.98161,0.627
2430500,7,-627.225,-174.815,4.86629,0.628
2431000,6,-665.295,-143.371,7.64115,0.58
2431500,8,-655.806,-136.753,4.10872,0.572
2432000,6,-668.261,-133.288,4.85392,0.559
2432500,8,-658.939,-140.789,5.09666,0.566
2433000,8,-617.151,-192.918,6.98142,0.588
2433500,7,-629.784,-173.748,3.03935,0.616
2434000,6,-623.878,-184.862,2.54703,0.611
2434500,3,-627.889,-169.775,1.11208,0.568
