generation,N_shifts,logPrior,logLik,eventRate,acceptRate
157500,2,-3.46078,-26790.5,0.866154,0.266
158000,2,-4.54255,-26792.8,1.24931,0.281
158500,2,-4.17347,-26793.2,1.69129,0.308
159000,2,-3.62829,-26776.5,2.64457,0.291929
159500,2,-1.29714,-26784.3,0.482863,0.292
160000,2,-2.24939,-26771.6,1.40698,0.287
160500,2,-2.40638,-26766.7,1.42229,0.292
161000,3,-2.8321,-26768.6,1.61436,0.291
161500,2,-1.82693,-26767.6,1.05927,0.304
162000,2,-3.1993,-26766.5,2.63856,0.287
162500,2,-1.2898,-26768.8,0.433311,0.246
163000,2,-2.06032,-26767.6,1.27378,0.269
163500,2,-2.23295,-26766.7,1.54344,0.322
164000,2,-4.3955,-26766.7,3.74358,0.306
164500,2,-2.30783,-26769.7,1.23199,0.268
165000,2,-3.27802,-26792.2,1.25839,0.293857
165500,2,-1.99493,-26792.2,0.63567,0.3
166000,3,-4.60326,-26783.3,2.95419,0.2872
166500,2,-3.44042,-26783.9,2.60719,0.306
167000,2,-2.0368,-26784.4,1.3476,0.302
167500,2,-3.78975,-26788.6,3.19408,0.298
168000,2,-3.0253,-26785.8,2.45273,0.299
168500,2,-1.01617,-26782.2,0.411937,0.274
169000,2,-1.95473,-26785.3,1.20711,0.278
169500,2,-2.30566,-26782.4,1.67001,0.316
170000,2,-2.85779,-26780,1.9471,0.298
170500,2,-1.74727,-26779.8,0.876487,0.33
171000,2,-3.19146,-26784,2.44619,0.322
171500,3,-3.11353,-26782.5,1.07665,0.374
172000,2,-5.95605,-26769.2,5.1063,0.303125
172500,2,-1.79687,-26772.6,0.825277,0.296
173000,2,-0.676823,-26785.2,0.463911,0.3075
173500,2,-1.94239,-26785.1,1.74333,0.274
174000,2,-2.98016,-26783.4,2.85786,0.277
174500,2,-1.65511,-26786.4,1.23835,0.32
175000,2,-1.05765,-26785.7,0.647554,0.307
175500,2,-1.35681,-26790.6,0.838937,0.284
176000,2,-1.42768,-26783,0.925691,0.281
176500,2,-1.59122,-26777.1,0.802107,0.292
177000,2,-2.76517,-26778.1,1.83913,0.281
177500,2,-2.53526,-26780.8,1.59471,0.296
178000,3,-5.27627,-26782.2,2.3874,0.332
178500,2,-2.92157,-26782,2.17032,0.356
179000,2,-1.98208,-26777.7,1.65424,0.325929
179500,2,-1.56419,-26774.1,0.30705,0.348
180000,2,-1.56468,-26775.4,0.640041,0.318
180500,2,-2.91976,-26775.5,1.68768,0.308
181000,2,-2.26887,-26781,0.638116,0.317
181500,2,-3.86106,-26782.2,1.35637,0.336
182000,2,-3.74299,-26778.3,1.7971,0.317
182500,3,-2.39425,-26780.3,1.44335,0.348
183000,2,-2.71728,-26769.6,1.65523,0.296545
183500,2,-3.71923,-26769.3,2.79539,0.242
184000,2,-4.02446,-26773.8,1.54949,0.2965
184500,2,-1.91517,-26775.4,0.908896,0.31
185000,2,-3.5199,-26768.6,2.38117,0.2845
185500,2,-4.08113,-26770.8,3.38886,0.326
186000,3,-2.44296,-26768.2,2.03146,0.321
186500,2,-1.40785,-26768.1,0.599221,0.294
187000,2,-2.99171,-26766.5,2.26386,0.283
