generation,N_shifts,logPrior,logLik,eventRate,acceptRate
153000,0,0.121289,-418.163,0.379815,0.355667
153500,0,0.164455,-419.88,0.880896,0.304
154000,0,-0.356444,-418.601,1.29112,0.345
154500,0,0.520944,-418.186,0.17658,0.396
155000,0,0.5806,-419.994,0.0930949,0.366
155500,0,-0.147049,-418.309,0.337085,0.358
156000,0,-0.276255,-418.287,0.418913,0.363
156500,0,0.841319,-418.591,0.2746,0.39
157000,0,-1.46996,-419.159,0.82673,0.387
157500,0,0.0235523,-419.837,0.858372,0.366
158000,0,-0.341102,-418.954,0.938022,0.379
158500,0,0.0720643,-419.336,0.172471,0.366
159000,0,0.745732,-418.6,0.38663,0.294125
159500,0,0.601353,-419.027,0.532591,0.292
160000,0,0.995789,-421.385,0.106218,0.299
160500,0,0.536398,-419.821,0.582299,0.286
161000,0,0.70702,-419.805,0.412379,0.258
161500,0,-1.00777,-419.27,2.13244,0.31
162000,0,0.941743,-419.873,0.181335,0.290312
162500,0,1.01873,-419.674,0.09801,0.26
163000,0,0.943453,-419.255,0.178174,0.278
163500,0,-0.192488,-419.496,1.3226,0.286
164000,0,1.03664,-419.301,0.0880254,0.305
164500,0,0.720744,-419.16,0.402304,0.306
165000,0,0.872236,-418.389,0.270602,0.356429
165500,0,1.12666,-418.421,0.0166534,0.344
166000,0,0.894849,-418.923,0.240441,0.323
166500,0,-0.400436,-419.08,1.53507,0.312
167000,0,0.33396,-421.602,0.769014,0.296167
167500,0,0.4582,-420.09,0.666143,0.298
168000,0,0.482549,-420.93,0.62204,0.286
168500,0,1.04503,-419.766,0.0678736,0.268
169000,0,0.866653,-421.04,0.242029,0.266
169500,0,-1.12415,-419.889,2.2486,0.274
170000,0,0.287036,-420.115,0.820186,0.269
170500,0,0.65409,-419.872,0.467978,0.292
171000,0,1.05018,-418.729,0.0872284,0.292684
171500,0,0.908275,-419.502,0.220081,0.338
172000,0,0.976827,-419.911,0.144965,0.298
172500,0,0.538727,-419.67,0.585475,0.242
173000,0,0.9174,-418.945,0.221645,0.28
173500,0,0.254917,-418.641,0.879774,0.332
174000,0,0.93588,-419.942,0.184141,0.306
174500,0,0.299304,-418.889,0.8334,0.318
175000,0,0.689408,-420.252,0.432651,0.29
175500,0,1.02138,-419.85,0.108347,0.298
176000,0,1.07875,-419.792,0.0459566,0.321
176500,0,0.915727,-421.341,0.185328,0.254
177000,0,0.89242,-421.028,0.214124,0.299182
177500,0,0.966387,-418.97,0.166673,0.26
178000,0,0.884162,-420.445,0.232157,0.312071
178500,0,0.0857847,-418.78,0.588348,0.34
179000,0,0.875693,-419.034,0.25687,0.2855
179500,0,1.10234,-419.158,0.0290214,0.314
180000,0,-1.94275,-419.65,3.06005,0.2782
180500,0,1.0512,-421.485,0.0438321,0.226
181000,0,0.238196,-420.585,0.878225,0.2798
181500,0,0.557429,-420.25,0.584657,0.29
182000,0,1.06306,-418.931,0.0722171,0.291
182500,0,0.917273,-419.354,0.215465,0.336
183000,0,-0.403541,-423.774,1.1505,0.316
183500,0,0.777689,-419.201,0.121741,0.34
184000,0,-0.422549,-419.116,0.875414,0.359
184500,0,0.910082,-420.021,0.140323,0.378
185000,0,-2.93631,-418.472,2.76105,0.321
185500,0,-0.175894,-419.061,0.273862,0.354
186000,0,0.401616,-418.656,0.301911,0.3695
186500,0,0.468376,-420.157,0.50025,0.352
187000,0,0.51794,-420.903,0.299119,0.3625
187500,0,1.05542,-418.642,0.0711071,0.372
188000,0,0.420778,-418.564,0.454927,0.3605
188500,0,0.75659,-421.357,0.151704,0.362
189000,0,0.986014,-418.932,0.151165,0.296111
189500,0,0.890268,-421.693,0.235059,0.286
190000,0,0.652295,-418.617,0.484197,0.284
190500,0,0.851672,-418.631,0.284322,0.298
191000,0,0.987386,-418.802,0.150934,0.296
191500,0,1.05593,-418.772,0.0749143,0.234
192000,0,0.43192,-419.595,0.125502,0.362714
192500,0,0.674856,-418.895,0.387399,0.358
193000,0,0.594408,-418.961,0.283567,0.367
193500,0,0.470076,-423.36,0.422832,0.344
