"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
652;0,0248224539702072;0,268569712682219;0,103195815658929;0,116876417618341;0,0995599188975948;0,0112150033696234;7,37233881257788;1,1152871989986;1,7594924323806;8,96918567333354;3,3920892807144;0,163919445539325;-380,349563964294
653;0,0082473969584875;0,173806492883056;0,165423799361227;0,0976839463216576;0,077696342932699;0,0625632382887716;3,41512791456174;1,09046724130316;0,181695331659619;10,2326619641848;2,36107028553077;0,434862430163181;-377,019845818478
654;0,0217289079978567;0,321143539566826;0,144437639694897;0,053700252040628;0,0947258546862447;0,0777423378111459;2,01492877118625;5,0907665517211;0,166099570937019;8,87477267730265;4,28644368080795;0,636927448968713;-379,089322908021
655;0,00729033770988963;0,284900406681403;0,161300029352044;0,0129024675971399;0,0736402354421413;0,0303607346709773;1,17809532723647;4,0183615950085;0,396990848745591;11,9332567069009;4,5540597281962;0,664412747155957;-380,759406328318
656;0,0118880235874892;0,260380810120686;0,121338261058708;0,00907667115136208;0,0469565568466743;0,0316550168631329;3,57619618889008;2,26727102039983;1,82860466734994;6,9959061942643;4,17684455569885;0,624896826768557;-379,589237737256
657;0,00687629216750856;0,213715399549919;0,0833279638382717;0,00285052257260627;0,0189924491678691;0,0190028250361385;3,83380914204536;2,82095534471602;1,35814889745609;7,67007373035295;2,91292770683188;1,09547052729154;-376,260684658359
658;0,0120085044152557;0,166492687464466;0,116595470438858;0,0533709304339221;0,032540842114761;0,000260727299645949;2,29198854343849;3,59744488810965;1,57244682638512;5,78151842386877;2,56810337959069;0,255524485061939;-372,938577080238
659;0,0115185241502743;0,0627971737392604;0,151941585570599;0,107224582421193;0,0706812445281731;0,00736011031888603;1,71413065293278;3,74308450827067;0,70827029526811;3,50645314541848;2,76197705770994;0,211332692634108;-372,91963480076
660;0,0709882514970946;0,16599053580719;0,153455064553071;0,250049333869677;0,0403453286514975;0,0237189350492306;1,85808585447004;3,18694305850822;2,05039377350152;3,83147751554752;2,88816513880789;0,26109012783482;-378,818493216329
661;0,118754208409699;0,0809698751629347;0,176861279251094;0,120830857123006;0,425939669303353;0,0136093559053699;2,72260783095723;4,7349592523605;2,85517282886003;3,65955196816491;4,38380567962288;0,111655834948869;-381,898521339629
662;0,147821944997656;0,059184938960569;0,163456725333322;0,118292036721029;0,205067045525646;0,0420772058518445;1,00203895050391;6,28425661517828;2,1834038558379;2,52173800622286;3,95382639130037;0,0400804005521266;-379,947589516546
663;0,113798478413076;0,0642854260023977;0,11130045347314;0,0328815856852476;0,141487674783037;0,074534121655885;1,21038266426359;5,93636043531521;1,05284299373391;2,5410251705731;4,47187858876473;0,135558963420511;-376,529654154217
664;0,148516947157436;0,120017456959814;0,120242851746429;0,0146408502084587;0,0767336410259423;0,100615616782667;0,729067644926311;4,35558795793907;0,400247971473412;2,188731888138;4,75046701300746;0,319055961726506;-379,282381899268
665;0,135718838913247;0,0635193548424177;0,0952422351937895;0,0175416034743779;0,0341286354979571;0,110633737361926;0,50909373625094;8,47343044018445;0,122190422809997;3,3213494414086;5,9836311558425;0,0441885868673998;-379,316387209777
666;0,192603080383749;0,025887678513538;0,0753583804469726;0,0242866229056296;0,000961792361763354;0,107436353645666;1,26380699410623;5,53398285029761;1,2700011692084;3,2038300386637;6,05669406592522;0,177701975166236;-379,532660706332
667;0,239015893405762;0,0248938893716682;0,0545183950458525;0,0474611057499935;0,111874820866217;0,046909932917351;2,69229949870122;6,76502341363175;1,67059704729267;5,0778938161127;4,04036728683286;0,154559975283042;-378,227905114733
668;0,28420933270756;0,0158541753407914;0,0450374988096092;0,0124544932198243;0,0702194769064877;0,0580935779574268;1,258744370432;8,39590840509253;0,92738321785739;2,61921278606139;3,66849958601394;0,495012739612875;-378,060414585228
669;0,314738661661887;0,00796662429608578;0,0300852073061806;0,0113043646652396;0,0721913194232709;0,00710232019170029;0,809553195394297;9,25515847897444;2,46744932420729;2,10499555743537;3,28220581455933;0,874840398029729;-377,8291598929
