"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
74;0,0483443476681563;0,41481272218967;0,0829691900931171;0,0347796651436816;0,393747151340437;0,0257459129090522;0,992156997716937;1,4213600177214;2,60020469921524;7,48408088839533;0,805072786919079;1,12281603807015;-373,864009853285
75;0,0745138457204738;0,403223201578914;0,0732153991590571;0,0831243665365016;0,167971836675054;0,0105207023299736;1,04252185571282;0,757670346746478;1,73212771514219;7,10854804678929;0,813618635974804;0,849819145728112;-371,485758335512
76;0,0345905363297289;0,539286556800806;0,0557884113103056;0,0992729886119408;0,00945810310421785;0,01251402307364;0,963051672660965;1,40011070706363;1,40384741359662;4,9996747061953;0,966551463696615;0,813759974523635;-371,15499587222
77;0,00258239313386522;0,60422137097285;0,0216479337827428;0,0789977095606444;0,00876541047215967;0,0357716948157552;1,57339176050699;0,298231297013485;2,41964698892898;7,21544693498297;0,64874701491677;1,02136155174345;-374,619373303656
78;0,0548788754860192;0,573143181792145;0,016118380361108;0,0491725927402716;0,00307951400074591;0,00357872610362794;1,50928465246115;0,311310945759977;1,70024609478288;6,762368174192;0,771493667682864;0,870806947216492;-370,83605294147
79;0,0292816649046577;0,449129803496291;0,0276548368680531;0,0084968449368392;0,0373256916199347;0,00824039526377864;1,60412526062716;0,389722033130743;0,137118062413146;6,94976707428199;0,791216993185587;0,751095328168412;-369,801199734442
80;0,0217320482493223;0,428682932536249;0,0311577279440001;0,080793840848016;0,0511542171207348;0,00733721751012376;1,81925874942216;0,932254106743554;0,0957114589449427;6,06797442899613;2,16765043198647;0,516541832416196;-373,541047959526
81;0,0759426063197682;0,260989359178692;0,106355623794752;0,146147691725175;0,0233023483518269;0,000669824219767991;2,17905077336605;2,20809904365105;2,27968086120554;6,21657512298806;1,35867922729504;0,569000008226849;-374,089710015571
82;0,0280727822016496;0,240536337173862;0,141569300241653;0,254176243528755;0,0683397553398809;0,030842721313974;2,01981471182837;2,34239231599204;1,34920117393309;3,97703130984821;1,5714608513198;0,318051350778962;-375,332783403672
83;0,0049381598677819;0,412749063747699;0,12917503874529;0,102422797553492;0,0950111893691158;0,0686093786003109;1,47127666864023;2,61160118073539;3,79438254542635;1,44818584396112;0,721455301616603;0,358209833880235;-374,943542665286
84;0,0456763055532766;0,345850024188243;0,0902417377092978;0,0829244494546663;0,0319052552893378;0,0459383374273046;1,25953233078942;2,69095754010378;2,88788841415427;0,867492482297385;1,08613868880152;0,457251132931555;-371,944832700557
85;0,0452450226058645;0,198776560856181;0,117349436812357;0,0271307152348627;0,147799153216938;0,0220433979071272;0,648306730089416;1,69359998717249;3,02272347368223;3,5619780606218;0,792636474108214;1,40203768513412;-371,509466528707
86;0,0160129665576367;0,291488091952484;0,131050791260912;0,0180149439165819;0,209862218007819;0,0181013091984053;0,355249836163815;2,29586435121887;3,8845074731951;2,63801504364709;0,566653242651822;0,912143865180064;-371,551694502185
87;0,00726448501064605;0,114632231284763;0,12702926666641;0,0117987959904739;0,144230347851411;0,0104942345760049;1,18166747807465;2,34775207741826;3,3586561449686;2,6470377847696;1,17141074473498;0,644644837540095;-369,904457095097
88;0,0442304410207212;0,0908713292429335;0,0942307713518501;0,0116713073927056;0,0245597924085976;0,00735680922235692;1,12798816126978;2,75791688684538;6,6452716119628;6,48663510745015;1,98441281853667;1,22636036479833;-375,745812626277
89;0,0896471849012296;0,0761189911244929;0,0844952280249754;0,0204133949860691;0,120015632991615;0,00743846962278242;0,352427251039136;4,13255979806566;2,04669062013598;4,71859886980457;1,65653658019635;0,496261260020757;-372,314380205949
90;0,0960680909917176;0,311196101148821;0,0809402399982253;0,0201827442217113;0,125379691809075;0,0113171106186254;0,0684777844881743;3,86388593212615;0,610908369914379;1,62538453718667;1,85065217087723;0,531255554401306;-371,477556506158
91;0,0368670328209847;0,323183011021481;0,0893560189584801;0,00323051400233106;0,207323455805917;0,00257028862486236;0,0241257595195699;3,32525694557542;2,60380081829526;0,574332683577407;1,48605339132765;0,599166028811656;-368,804026488037
92;0,0339426406579803;0,392601640827411;0,074448915191343;0,0156239075833215;0,354443586094272;0,00647788197456839;0,16075803153616;3,81555734558834;2,74685393574484;0,565100307656956;1,76868305538231;0,396389304893575;-371,32489868531
93;0,0914425474585641;0,397926786696593;0,0792717233381949;0,0343994752681363;0,355708556932981;0,0155839745565862;0,179608378361603;6,06386655739489;2,39250221973842;0,085086952927756;2,5313245604649;0,109139281053337;-374,490220039201
94;0,0548658414807565;0,466420631611733;0,0677052680004101;0,0569816809934804;0,102745326938651;0,0132699246681092;0,814304512820981;5,04486161216932;2,52686125869188;0,432878729668381;3,29333233649435;0,040018203593239;-372,782690133019
95;0,0520725371710245;0,424311910000665;0,109429073074953;0,217979529826496;0,114337700942034;0,0170045105828162;1,1461033196752;6,22938194178935;2,72518614066299;0,401699568410826;2,63229089619371;0,241895955895036;-376,15550975779
96;0,0488820507406998;0,419929733955265;0,12211021495329;0,213160058365511;0,120402997068932;0,0516363184057772;0,610719975160744;6,37644936075321;2,21571067828821;0,205844426638649;3,00427767300924;0,247035535074264;-376,673109087562
97;0,0365577709982714;0,432009433517906;0,101926402082295;0,111147332285311;0,162834221596334;0,0259262003344041;0,519897896247103;7,42114055734022;1,5706840323354;1,82904149167975;3,35556118109852;0,224420352526146;-374,790155950207
98;0,050233778878604;0,46207280515557;0,113922909683752;0,103533367330105;0,289021320645076;0,00699702262888845;0,18548425103503;6,06968536494161;0,351384799455562;2,24961043765295;2,98586793414263;0,160945842836238;-374,604250417894
99;0,00890536178564871;0,328906961063425;0,141701494865404;0,0211406228848718;1,18703304323485;0,0171937260843975;0,00925042099897672;4,80928615032184;0,825837410261663;1,96145527499587;2,44562556872563;0,166190583359977;-377,555347215784
100;0,00585054157522502;0,610238283507644;0,127978434014446;0,0398874739198016;0,701688798737775;0,0051954590416085;0,547182042672771;3,4175485440507;1,53548364736738;1,7364232982289;2,67778659496615;0,0893633355730001;-374,689235267546
